# listNFWModel[0.0121, 0.4, 1/(2*Pi), 0.00375, "halo_c039_a1021_e00375.txt", {2, -16, 6, 1/16}, 12]
#             r         rho(r)        mass(r)     rho_eps(r)     rho(r_eps)
  2.78024569e-4  6.61896959e+0  9.07370464e-10  3.25056514e-1  2.98079614e-1
  2.90333768e-4  6.32575956e+0  9.88181502e-10  3.24940497e-1  2.97970950e-1
  3.03187942e-4  6.04501897e+0  1.07612775e-9  3.24814082e-1  2.97852549e-1
  3.16611219e-4  5.77622067e+0  1.17183082e-9  3.24676347e-1  2.97723550e-1
  3.30628796e-4  5.51885993e+0  1.27596533e-9  3.24526295e-1  2.97583014e-1
  3.45266983e-4  5.27245349e+0  1.38926330e-9  3.24362864e-1  2.97429925e-1
  3.60553258e-4  5.03653860e+0  1.51251886e-9  3.24184819e-1  2.97263176e-1
  3.76516315e-4  4.81067221e+0  1.64659329e-9  3.23990874e-1  2.97081569e-1
  3.93186116e-4  4.59443010e+0  1.79242053e-9  3.23779696e-1  2.96883801e-1
  4.10593953e-4  4.38740612e+0  1.95101303e-9  3.23549750e-1  2.96668462e-1
  4.28772500e-4  4.18921136e+0  2.12346807e-9  3.23299397e-1  2.96434022e-1
  4.47755880e-4  3.99947349e+0  2.31097456e-9  3.23026872e-1  2.96178826e-1
  4.67579727e-4  3.81783602e+0  2.51482034e-9  3.22730258e-1  2.95901079e-1
  4.88281250e-4  3.64395764e+0  2.73640001e-9  3.22407479e-1  2.95598844e-1
  5.09899308e-4  3.47751156e+0  2.97722328e-9  3.22056293e-1  2.95270023e-1
  5.32474479e-4  3.31818493e+0  3.23892404e-9  3.21674278e-1  2.94912352e-1
  5.56049138e-4  3.16567820e+0  3.52326994e-9  3.21258820e-1  2.94523388e-1
  5.80667537e-4  3.01970462e+0  3.83217269e-9  3.20807102e-1  2.94100497e-1
  6.06375885e-4  2.87998963e+0  4.16769911e-9  3.20316086e-1  2.93640841e-1
  6.33222439e-4  2.74627039e+0  4.53208286e-9  3.19782505e-1  2.93141371e-1
  6.61257591e-4  2.61829527e+0  4.92773698e-9  3.19202850e-1  2.92598807e-1
  6.90533966e-4  2.49582337e+0  5.35726727e-9  3.18573343e-1  2.92009633e-1
  7.21106517e-4  2.37862405e+0  5.82348654e-9  3.17889966e-1  2.91370082e-1
  7.53032630e-4  2.26647654e+0  6.32942969e-9  3.17148393e-1  2.90676125e-1
  7.86372232e-4  2.15916946e+0  6.87836982e-9  3.16344020e-1  2.89923463e-1
  8.21187906e-4  2.05650047e+0  7.47383527e-9  3.15471924e-1  2.89107515e-1
  8.57545000e-4  1.95827587e+0  8.11962763e-9  3.14526862e-1  2.88223411e-1
  8.95511761e-4  1.86431020e+0  8.81984092e-9  3.13503309e-1  2.87265988e-1
  9.35159454e-4  1.77442594e+0  9.57888168e-9  3.12395391e-1  2.86229787e-1
  9.76562500e-4  1.68845314e+0  1.04014903e-8  3.11196924e-1  2.85109051e-1
  1.01979862e-3  1.60622909e+0  1.12927633e-8  3.09901390e-1  2.83897730e-1
  1.06494896e-3  1.52759803e+0  1.22581772e-8  3.08501975e-1  2.82589488e-1
  1.11209828e-3  1.45241085e+0  1.33036125e-8  3.06991542e-1  2.81177720e-1
  1.16133507e-3  1.38052477e+0  1.44353806e-8  3.05362686e-1  2.79655565e-1
  1.21275177e-3  1.31180311e+0  1.56602496e-8  3.03607763e-1  2.78015939e-1
  1.26644488e-3  1.24611501e+0  1.69854736e-8  3.01718891e-1  2.76251563e-1
  1.32251518e-3  1.18333516e+0  1.84188209e-8  2.99687986e-1  2.74355008e-1
  1.38106793e-3  1.12334358e+0  1.99686053e-8  2.97506963e-1  2.72318748e-1
  1.44221303e-3  1.06602538e+0  2.16437169e-8  2.95167501e-1  2.70135219e-1
  1.50606526e-3  1.01127053e+0  2.34536549e-8  2.92661415e-1  2.67796892e-1
  1.57274446e-3  9.58973669e-1  2.54085605e-8  2.89980601e-1  2.65296360e-1
  1.64237581e-3  9.09033861e-1  2.75192516e-8  2.87117146e-1  2.62626427e-1
  1.71509000e-3  8.61354428e-1  2.97972572e-8  2.84063471e-1  2.59780223e-1
  1.79102352e-3  8.15842752e-1  3.22548532e-8  2.80812434e-1  2.56751311e-1
  1.87031891e-3  7.72410090e-1  3.49050978e-8  2.77357465e-1  2.53533822e-1
  1.95312500e-3  7.30971400e-1  3.77618684e-8  2.73692702e-1  2.50122586e-1
  2.03959723e-3  6.91445177e-1  4.08398973e-8  2.69813187e-1  2.46513277e-1
  2.12989792e-3  6.53753287e-1  4.41548080e-8  2.65714963e-1  2.42702552e-1
  2.22419655e-3  6.17820815e-1  4.77231512e-8  2.61395248e-1  2.38688206e-1
  2.32267015e-3  5.83575919e-1  5.15624392e-8  2.56852664e-1  2.34469306e-1
  2.42550354e-3  5.50949682e-1  5.56911811e-8  2.52087229e-1  2.30046333e-1
  2.53288976e-3  5.19875982e-1  6.01289147e-8  2.47100648e-1  2.25421303e-1
  2.64503037e-3  4.90291358e-1  6.48962386e-8  2.41896352e-1  2.20597871e-1
  2.76213586e-3  4.62134883e-1  7.00148413e-8  2.36479620e-1  2.15581424e-1
  2.88442607e-3  4.35348051e-1  7.55075281e-8  2.30857646e-1  2.10379130e-1
  3.01213052e-3  4.09874656e-1  8.13982457e-8  2.25039581e-1  2.04999977e-1
  3.14548893e-3  3.85660684e-1  8.77121031e-8  2.19036530e-1  1.99454761e-1
  3.28475162e-3  3.62654214e-1  9.44753893e-8  2.12861549e-1  1.93756046e-1
  3.43018000e-3  3.40805310e-1  1.01715586e-7  2.06529521e-1  1.87918087e-1
  3.58204704e-3  3.20065934e-1  1.09461379e-7  2.00057096e-1  1.81956713e-1
  3.74063782e-3  3.00389850e-1  1.17742658e-7  1.93462506e-1  1.75889173e-1
  3.90625000e-3  2.81732544e-1  1.26590518e-7  1.86765386e-1  1.69733949e-1
  4.07919446e-3  2.64051138e-1  1.36037252e-7  1.79986592e-1  1.63510544e-1
  4.25979583e-3  2.47304318e-1  1.46116335e-7  1.73147872e-1  1.57239240e-1
  4.44839310e-3  2.31452260e-1  1.56862406e-7  1.66271629e-1  1.50940844e-1
  4.64534029e-3  2.16456561e-1  1.68311239e-7  1.59380730e-1  1.44636415e-1
  4.85100708e-3  2.02280176e-1  1.80499707e-7  1.52498085e-1  1.38347003e-1
  5.06577951e-3  1.88887361e-1  1.93465739e-7  1.45646432e-1  1.32093375e-1
  5.29006073e-3  1.76243613e-1  2.07248272e-7  1.38848061e-1  1.25895764e-1
  5.52427173e-3  1.64315620e-1  2.21887187e-7  1.32124510e-1  1.19773631e-1
  5.76885213e-3  1.53071214e-1  2.37423244e-7  1.25496380e-1  1.13745448e-1
  6.02426104e-3  1.42479323e-1  2.53898006e-7  1.18983082e-1  1.07828513e-1
  6.29097786e-3  1.32509936e-1  2.71353753e-7  1.12602667e-1  1.02038788e-1
  6.56950324e-3  1.23134056e-1  2.89833388e-7  1.06371683e-1  9.63907780e-2
  6.86036000e-3  1.14323675e-1  3.09380340e-7  1.00305019e-1  9.08974309e-2
  7.16409409e-3  1.06051736e-1  3.30038451e-7  9.44158876e-2  8.55700805e-2
  7.48127563e-3  9.82921027e-2  3.51851862e-7  8.87156923e-2  8.04184135e-2
  7.81250000e-3  9.10195396e-2  3.74864889e-7  8.32140961e-2  7.54504677e-2
  8.15838893e-3  8.42096822e-2  3.99121894e-7  7.79189539e-2  7.06726557e-2
  8.51959166e-3  7.78390168e-2  4.24667148e-7  7.28363844e-2  6.60898111e-2
  8.89678621e-3  7.18848607e-2  4.51544695e-7  6.79708212e-2  6.17052544e-2
  9.29068059e-3  6.63253435e-2  4.79798204e-7  6.33250870e-2  5.75208754e-2
  9.70201416e-3  6.11393904e-2  5.09470826e-7  5.89004877e-2  5.35372273e-2
  1.01315590e-2  5.63067065e-2  5.40605039e-7  5.46969046e-2  4.97536306e-2
  1.05801215e-2  5.18077626e-2  5.73242504e-7  5.07129282e-2  4.61682837e-2
  1.10485435e-2  4.76237813e-2  6.07423913e-7  4.69459686e-2  4.27783762e-2
  1.15377043e-2  4.37367240e-2  6.43188839e-7  4.33923670e-2  3.95802041e-2
  1.20485221e-2  4.01292786e-2  6.80575589e-7  4.00475324e-2  3.65692836e-2
  1.25819557e-2  3.67848469e-2  7.19621065e-7  3.69060649e-2  3.37404623e-2
  1.31390065e-2  3.36875328e-2  7.60360621e-7  3.39618674e-2  3.10880263e-2
  1.37207200e-2  3.08221297e-2  8.02827936e-7  3.12082668e-2  2.86058018e-2
  1.43281882e-2  2.81741087e-2  8.47054882e-7  2.86381201e-2  2.62872511e-2
  1.49625513e-2  2.57296050e-2  8.93071410e-7  2.62439263e-2  2.41255608e-2
  1.56250000e-2  2.34754057e-2  9.40905441e-7  2.40179112e-2  2.21137238e-2
  1.63167779e-2  2.13989359e-2  9.90582765e-7  2.19521246e-2  2.02446138e-2
  1.70391833e-2  1.94882443e-2  1.04212695e-6  2.00385177e-2  1.85110517e-2
  1.77935724e-2  1.77319891e-2  1.09555927e-6  1.82690171e-2  1.69058658e-2
  1.85813612e-2  1.61194222e-2  1.15089862e-6  1.66355890e-2  1.54219437e-2
  1.94040283e-2  1.46403738e-2  1.20816150e-6  1.51302973e-2  1.40522785e-2
  2.02631180e-2  1.32852354e-2  1.26736192e-6  1.37453507e-2  1.27900075e-2
  2.11602429e-2  1.20449433e-2  1.32851141e-6  1.24731493e-2  1.16284455e-2
  2.20970869e-2  1.09109608e-2  1.39161898e-6  1.13063150e-2  1.05611122e-2
  2.30754085e-2  9.87526012e-3  1.45669113e-6  1.02377226e-2  9.58175400e-3
  2.40970441e-2  8.93030423e-3  1.52373183e-6  9.26052470e-3  8.68436183e-3
  2.51639114e-2  8.06902789e-3  1.59274258e-6  8.36816499e-3  7.86318369e-3
  2.62780130e-2  7.28481872e-3  1.66372238e-6  7.55439429e-3  7.11273389e-3
  2.74414400e-2  6.57149804e-3  1.73666784e-6  6.81327743e-3  6.42779859e-3
  2.86563764e-2  5.92330155e-3  1.81157316e-6  6.13919725e-3  5.80343831e-3
  2.99251025e-2  5.33486007e-3  1.88843024e-6  5.52685543e-3  5.23498775e-3
  3.12500000e-2  4.80118032e-3  1.96722872e-6  4.97126961e-3  4.71805327e-3
  3.26335557e-2  4.31762586e-3  2.04795610e-6  4.46776978e-3  4.24850842e-3
  3.40783666e-2  3.87989825e-3  2.13059774e-6  4.01198974e-3  3.82248781e-3
  3.55871448e-2  3.48401852e-3  2.21513704e-6  3.59985903e-3  3.43637959e-3
  3.71627223e-2  3.12630904e-3  2.30155548e-6  3.22759333e-3  3.08681688e-3
  3.88080566e-2  2.80337574e-3  2.38983275e-6  2.89168036e-3  2.77066823e-3
