# listNFWModel[0.0884, 0.34654, 1, 0.00375, "halo_c039_a0884_e00375.txt", {2, -16, 6, 1/16}, 12]
#             r         rho(r)        mass(r)     rho_eps(r)     rho(r_eps)
  2.78024569e-4  3.15966907e+2  4.27543119e-8  2.17118694e+1  2.16295514e+1
  2.90333768e-4  3.02486966e+2  4.66152778e-8  2.17060735e+1  2.16237660e+1
  3.03187942e-4  2.89578566e+2  5.08244964e-8  2.16997587e+1  2.16174619e+1
  3.16611219e-4  2.77217477e+2  5.54133220e-8  2.16928777e+1  2.16105930e+1
  3.30628796e-4  2.65380496e+2  6.04159240e-8  2.16853809e+1  2.16031094e+1
  3.45266983e-4  2.54045405e+2  6.58695383e-8  2.16772138e+1  2.15949566e+1
  3.60553258e-4  2.43190928e+2  7.18147416e-8  2.16683172e+1  2.15860758e+1
  3.76516315e-4  2.32796688e+2  7.82957492e-8  2.16586270e+1  2.15764027e+1
  3.93186116e-4  2.22843177e+2  8.53607404e-8  2.16480735e+1  2.15658678e+1
  4.10593953e-4  2.13311710e+2  9.30622111e-8  2.16365811e+1  2.15543958e+1
  4.28772500e-4  2.04184396e+2  1.01457359e-7  2.16240680e+1  2.15419048e+1
  4.47755880e-4  1.95444103e+2  1.10608504e-7  2.16104452e+1  2.15283062e+1
  4.67579727e-4  1.87074424e+2  1.20583539e-7  2.15956168e+1  2.15135039e+1
  4.88281250e-4  1.79059649e+2  1.31456431e-7  2.15794785e+1  2.14973942e+1
  5.09899308e-4  1.71384734e+2  1.43307760e-7  2.15619168e+1  2.14798647e+1
  5.32474479e-4  1.64035273e+2  1.56225303e-7  2.15428130e+1  2.14607938e+1
  5.56049138e-4  1.56997469e+2  1.70304674e-7  2.15220327e+1  2.14400504e+1
  5.80667537e-4  1.50258113e+2  1.85650020e-7  2.14994351e+1  2.14174930e+1
  6.06375885e-4  1.43804553e+2  2.02374774e-7  2.14748669e+1  2.13929690e+1
  6.33222439e-4  1.37624677e+2  2.20602481e-7  2.14481645e+1  2.13663143e+1
  6.61257591e-4  1.31706885e+2  2.40467686e-7  2.14191510e+1  2.13373521e+1
  6.90533966e-4  1.26040067e+2  2.62116907e-7  2.13876352e+1  2.13058926e+1
  7.21106517e-4  1.20613587e+2  2.85709693e-7  2.13534135e+1  2.12717324e+1
  7.53032630e-4  1.15417260e+2  3.11419770e-7  2.13162678e+1  2.12346534e+1
  7.86372232e-4  1.10441330e+2  3.39436287e-7  2.12759644e+1  2.11944225e+1
  8.21187906e-4  1.05676458e+2  3.69965174e-7  2.12322541e+1  2.11507909e+1
  8.57545000e-4  1.01113700e+2  4.03230610e-7  2.11848712e+1  2.11034937e+1
  8.95511761e-4  9.67444901e+1  4.39476626e-7  2.11335366e+1  2.10522492e+1
  9.35159454e-4  9.25606280e+1  4.78968842e-7  2.10779464e+1  2.09967588e+1
  9.76562500e-4  8.85542598e+1  5.21996347e-7  2.10177869e+1  2.09367067e+1
  1.01979862e-3  8.47178649e+1  5.68873755e-7  2.09527213e+1  2.08717601e+1
  1.06494896e-3  8.10442421e+1  6.19943418e-7  2.08823997e+1  2.08015691e+1
  1.11209828e-3  7.75264954e+1  6.75577846e-7  2.08064588e+1  2.07257672e+1
  1.16133507e-3  7.41580216e+1  7.36182317e-7  2.07245124e+1  2.06439722e+1
  1.21275177e-3  7.09324974e+1  8.02197717e-7  2.06361635e+1  2.05557873e+1
  1.26644488e-3  6.78438681e+1  8.74103620e-7  2.05410008e+1  2.04608022e+1
