# listGammaModel[1, 0.00707, 4., 0.0078, 0.00375, "bulge_g1_a0078_b4_e00375.txt", {2, -18, 6, 1/16}]
#             r         rho(r)        mass(r)     rho_eps(r)     rho(r_eps)
  3.81469727e-6  6.51147374e+6  2.27234182e-9  2.52109608e+3  1.85091681e+3
  3.98358834e-6  6.23496201e+6  2.47788800e-9  2.52109585e+3  1.85091663e+3
  4.15995687e-6  5.97017352e+6  2.70202129e-9  2.52109560e+3  1.85091644e+3
  4.34413389e-6  5.71661124e+6  2.94642169e-9  2.52109533e+3  1.85091623e+3
  4.53646513e-6  5.47379921e+6  3.21292093e-9  2.52109503e+3  1.85091600e+3
  4.73731160e-6  5.24128167e+6  3.50351619e-9  2.52109470e+3  1.85091575e+3
  4.94705030e-6  5.01862216e+6  3.82038497e-9  2.52109435e+3  1.85091548e+3
  5.16607493e-6  4.80540274e+6  4.16590141e-9  2.52109396e+3  1.85091518e+3
  5.39479661e-6  4.60122318e+6  4.54265400e-9  2.52109354e+3  1.85091486e+3
  5.63364466e-6  4.40570022e+6  4.95346487e-9  2.52109308e+3  1.85091450e+3
  5.88306742e-6  4.21846685e+6  5.40141093e-9  2.52109258e+3  1.85091412e+3
  6.14353307e-6  4.03917163e+6  5.88984676e-9  2.52109203e+3  1.85091370e+3
  6.41553051e-6  3.86747801e+6  6.42242969e-9  2.52109144e+3  1.85091324e+3
  6.69957031e-6  3.70306370e+6  7.00314703e-9  2.52109079e+3  1.85091274e+3
  6.99618563e-6  3.54562009e+6  7.63634583e-9  2.52109008e+3  1.85091219e+3
  7.30593323e-6  3.39485165e+6  8.32676527e-9  2.52108931e+3  1.85091160e+3
  7.62939453e-6  3.25047538e+6  9.07957195e-9  2.52108847e+3  1.85091095e+3
  7.96717668e-6  3.11222027e+6  9.90039839e-9  2.52108755e+3  1.85091024e+3
  8.31991373e-6  2.97982681e+6  1.07953850e-8  2.52108654e+3  1.85090947e+3
  8.68826778e-6  2.85304649e+6  1.17712256e-8  2.52108545e+3  1.85090863e+3
  9.07293026e-6  2.73164134e+6  1.28352176e-8  2.52108426e+3  1.85090771e+3
  9.47462320e-6  2.61538346e+6  1.39953157e-8  2.52108296e+3  1.85090671e+3
  9.89410061e-6  2.50405464e+6  1.52601915e-8  2.52108154e+3  1.85090562e+3
  1.03321499e-5  2.39744590e+6  1.66392977e-8  2.52108000e+3  1.85090443e+3
  1.07895932e-5  2.29535714e+6  1.81429384e-8  2.52107831e+3  1.85090314e+3
  1.12672893e-5  2.19759673e+6  1.97823454e-8  2.52107647e+3  1.85090172e+3
  1.17661348e-5  2.10398115e+6  2.15697615e-8  2.52107447e+3  1.85090018e+3
  1.22870661e-5  2.01433470e+6  2.35185316e-8  2.52107229e+3  1.85089850e+3
  1.28310610e-5  1.92848910e+6  2.56432011e-8  2.52106990e+3  1.85089666e+3
  1.33991406e-5  1.84628321e+6  2.79596238e-8  2.52106730e+3  1.85089466e+3
  1.39923713e-5  1.76756272e+6  3.04850796e-8  2.52106447e+3  1.85089248e+3
  1.46118665e-5  1.69217988e+6  3.32384014e-8  2.52106138e+3  1.85089010e+3
  1.52587891e-5  1.61999318e+6  3.62401150e-8  2.52105801e+3  1.85088751e+3
  1.59343534e-5  1.55086713e+6  3.95125904e-8  2.52105434e+3  1.85088468e+3
  1.66398275e-5  1.48467196e+6  4.30802068e-8  2.52105033e+3  1.85088160e+3
  1.73765356e-5  1.42128344e+6  4.69695325e-8  2.52104596e+3  1.85087823e+3
  1.81458605e-5  1.36058257e+6  5.12095203e-8  2.52104119e+3  1.85087456e+3
  1.89492464e-5  1.30245541e+6  5.58317210e-8  2.52103599e+3  1.85087056e+3
  1.97882012e-5  1.24679286e+6  6.08705149e-8  2.52103033e+3  1.85086620e+3
  2.06642997e-5  1.19349043e+6  6.63633649e-8  2.52102415e+3  1.85086145e+3
  2.15791864e-5  1.14244808e+6  7.23510909e-8  2.52101741e+3  1.85085626e+3
  2.25345786e-5  1.09356998e+6  7.88781694e-8  2.52101006e+3  1.85085060e+3
  2.35322697e-5  1.04676440e+6  8.59930591e-8  2.52100204e+3  1.85084443e+3
  2.45741323e-5  1.00194348e+6  9.37485552e-8  2.52099330e+3  1.85083770e+3
  2.56621220e-5  9.59023083e+5  1.02202176e-7  2.52098377e+3  1.85083037e+3
  2.67982813e-5  9.17922646e+5  1.11416580e-7  2.52097338e+3  1.85082237e+3
  2.79847425e-5  8.78565021e+5  1.21460026e-7  2.52096204e+3  1.85081364e+3
  2.92237329e-5  8.40876331e+5  1.32406869e-7  2.52094968e+3  1.85080413e+3
  3.05175781e-5  8.04785833e+5  1.44338098e-7  2.52093620e+3  1.85079375e+3
  3.18687067e-5  7.70225781e+5  1.57341927e-7  2.52092151e+3  1.85078244e+3
  3.32796549e-5  7.37131303e+5  1.71514430e-7  2.52090548e+3  1.85077010e+3
  3.47530711e-5  7.05440280e+5  1.86960243e-7  2.52088800e+3  1.85075665e+3
  3.62917210e-5  6.75093224e+5  2.03793312e-7  2.52086894e+3  1.85074198e+3
  3.78984928e-5  6.46033172e+5  2.22137718e-7  2.52084815e+3  1.85072598e+3
  3.95764024e-5  6.18205576e+5  2.42128571e-7  2.52082548e+3  1.85070853e+3
  4.13285995e-5  5.91558201e+5  2.63912977e-7  2.52080077e+3  1.85068951e+3
  4.31583729e-5  5.66041027e+5  2.87651095e-7  2.52077381e+3  1.85066876e+3
  4.50691573e-5  5.41606158e+5  3.13517283e-7  2.52074442e+3  1.85064614e+3
  4.70645393e-5  5.18207726e+5  3.41701338e-7  2.52071237e+3  1.85062146e+3
  4.91482645e-5  4.95801810e+5  3.72409852e-7  2.52067741e+3  1.85059456e+3
  5.13242441e-5  4.74346353e+5  4.05867677e-7  2.52063930e+3  1.85056522e+3
  5.35965625e-5  4.53801080e+5  4.42319519e-7  2.52059773e+3  1.85053323e+3
  5.59694851e-5  4.34127425e+5  4.82031666e-7  2.52055241e+3  1.85049834e+3
  5.84474659e-5  4.15288459e+5  5.25293864e-7  2.52050298e+3  1.85046030e+3
  6.10351563e-5  3.97248819e+5  5.72421357e-7  2.52044909e+3  1.85041882e+3
  6.37374135e-5  3.79974642e+5  6.23757090e-7  2.52039031e+3  1.85037358e+3
  6.65593099e-5  3.63433503e+5  6.79674105e-7  2.52032623e+3  1.85032425e+3
  6.95061423e-5  3.47594350e+5  7.40578141e-7  2.52025634e+3  1.85027046e+3
  7.25834421e-5  3.32427452e+5  8.06910444e-7  2.52018013e+3  1.85021181e+3
  7.57969856e-5  3.17904337e+5  8.79150818e-7  2.52009703e+3  1.85014784e+3
  7.91528048e-5  3.03997744e+5  9.57820927e-7  2.52000642e+3  1.85007810e+3
  8.26571989e-5  2.90681565e+5  1.04348788e-6  2.51990761e+3  1.85000205e+3
  8.63167458e-5  2.77930805e+5  1.13676808e-6  2.51979986e+3  1.84991912e+3
  9.01383146e-5  2.65721527e+5  1.23833146e-6  2.51968238e+3  1.84982869e+3
  9.41290787e-5  2.54030811e+5  1.34890596e-6  2.51955427e+3  1.84973009e+3
  9.82965290e-5  2.42836709e+5  1.46928249e-6  2.51941396e+3  1.84962257e+3
  1.02648488e-4  2.32118207e+5  1.60032018e-6  2.51926165e+3  1.84950534e+3
  1.07193125e-4  2.21855183e+5  1.74295214e-6  2.51909556e+3  1.84937751e+3
  1.11938970e-4  2.12028368e+5  1.89819164e-6  2.51891508e+3  1.84923813e+3
  1.16894932e-4  2.02619313e+5  2.06713878e-6  2.51871762e+3  1.84908615e+3
  1.22070313e-4  1.93610354e+5  2.25098772e-6  2.51850233e+3  1.84892045e+3
  1.27474827e-4  1.84984574e+5  2.45103445e-6  2.51826758e+3  1.84873978e+3
  1.33118620e-4  1.76725778e+5  2.66868516e-6  2.51801164e+3  1.84854280e+3
  1.39012285e-4  1.68818459e+5  2.90546530e-6  2.51773258e+3  1.84832803e+3
  1.45166884e-4  1.61247768e+5  3.16302928e-6  2.51742833e+3  1.84809387e+3
  1.51593971e-4  1.53999488e+5  3.44317098e-6  2.51709662e+3  1.84783858e+3
  1.58305610e-4  1.47060008e+5  3.74783498e-6  2.51673498e+3  1.84756026e+3
  1.65314398e-4  1.40416294e+5  4.07912869e-6  2.51634065e+3  1.84725684e+3
  1.72633492e-4  1.34055868e+5  4.43933536e-6  2.51591083e+3  1.84692605e+3
  1.80276629e-4  1.27966782e+5  4.83092802e-6  2.51544226e+3  1.84656545e+3
  1.88258157e-4  1.22137597e+5  5.25658448e-6  2.51493146e+3  1.84617236e+3
  1.96593058e-4  1.16557362e+5  5.71920338e-6  2.51437464e+3  1.84574387e+3
  2.05296976e-4  1.11215592e+5  6.22192136e-6  2.51376769e+3  1.84527680e+3
  2.14386250e-4  1.06102247e+5  6.76813148e-6  2.51310610e+3  1.84476770e+3
  2.23877940e-4  1.01207718e+5  7.36150286e-6  2.51238499e+3  1.84421281e+3
  2.33789863e-4  9.65228023e+4  8.00600170e-6  2.51159911e+3  1.84360805e+3
  2.44140625e-4  9.20386920e+4  8.70591364e-6  2.51074254e+3  1.84294896e+3
  2.54949654e-4  8.77469540e+4  9.46586766e-6  2.50980905e+3  1.84223071e+3
  2.66237239e-4  8.36395149e+4  1.02908615e-5  2.50879179e+3  1.84144803e+3
  2.78024569e-4  7.97086462e+4  1.11862885e-5  2.50768332e+3  1.84059520e+3
  2.90333768e-4  7.59469489e+4  1.21579666e-5  2.50647553e+3  1.83966600e+3
  3.03187942e-4  7.23473403e+4  1.32121686e-5  2.50515962e+3  1.83865367e+3
  3.16611219e-4  6.89030401e+4  1.43556540e-5  2.50372606e+3  1.83755087e+3
  3.30628796e-4  6.56075575e+4  1.55957035e-5  2.50216444e+3  1.83634963e+3
  3.45266983e-4  6.24546792e+4  1.69401549e-5  2.50046350e+3  1.83504128e+3
  3.60553258e-4  5.94384574e+4  1.83974406e-5  2.49861100e+3  1.83361646e+3
  3.76516315e-4  5.65531985e+4  1.99766275e-5  2.49659368e+3  1.83206496e+3
  3.93186116e-4  5.37934524e+4  2.16874588e-5  2.49439714e+3  1.83037576e+3
  4.10593953e-4  5.11540017e+4  2.35403978e-5  2.49200580e+3  1.82853689e+3
  4.28772500e-4  4.86298523e+4  2.55466733e-5  2.48940276e+3  1.82653540e+3
  4.47755880e-4  4.62162233e+4  2.77183275e-5  2.48656975e+3  1.82435730e+3
  4.67579727e-4  4.39085382e+4  3.00682651e-5  2.48348699e+3  1.82198743e+3
  4.88281250e-4  4.17024159e+4  3.26103051e-5  2.48013312e+3  1.81940944e+3
  5.09899308e-4  3.95936625e+4  3.53592329e-5  2.47648505e+3  1.81660565e+3
  5.32474479e-4  3.75782627e+4  3.83308558e-5  2.47251789e+3  1.81355702e+3
  5.56049138e-4  3.56523727e+4  4.15420580e-5  2.46820480e+3  1.81024303e+3
  5.80667537e-4  3.38123123e+4  4.50108585e-5  2.46351686e+3  1.80664161e+3
