# listNFWModel[0.25, 0.98015, 4.218905, 0.00375, "halo_c039_a25_e00375.txt", {2, -16, 6, 1/16}, 12]
#             r         rho(r)        mass(r)     rho_eps(r)     rho(r_eps)
  2.78024569e-4  3.78522029e+3  5.11496107e-7  2.72394559e+2  2.72239315e+2
  2.90333768e-4  3.62438285e+3  5.57753881e-7  2.72325225e+2  2.72169996e+2
  3.03187942e-4  3.47036444e+3  6.08193269e-7  2.72249731e+2  2.72094462e+2
  3.16611219e-4  3.32287596e+3  6.63192037e-7  2.72167468e+2  2.72012160e+2
  3.30628796e-4  3.18164058e+3  7.23162042e-7  2.72077666e+2  2.71922493e+2
  3.45266983e-4  3.04639316e+3  7.88552310e-7  2.71980016e+2  2.71824808e+2
  3.60553258e-4  2.91687986e+3  8.59852379e-7  2.71873582e+2  2.71718399e+2
  3.76516315e-4  2.79285757e+3  9.37595949e-7  2.71757710e+2  2.71602496e+2
  3.93186116e-4  2.67409348e+3  1.02236486e-6  2.71631340e+2  2.71476268e+2
  4.10593953e-4  2.56036468e+3  1.11479344e-6  2.71493879e+2  2.71338810e+2
  4.28772500e-4  2.45145767e+3  1.21557319e-6  2.71344148e+2  2.71189142e+2
  4.47755880e-4  2.34716805e+3  1.32545797e-6  2.71181171e+2  2.71026202e+2
  4.67579727e-4  2.24730005e+3  1.44526961e-6  2.71003768e+2  2.70848839e+2
  4.88281250e-4  2.15166621e+3  1.57590399e-6  2.70810693e+2  2.70655809e+2
  5.09899308e-4  2.06008702e+3  1.71833772e-6  2.70600601e+2  2.70445764e+2
  5.32474479e-4  1.97239058e+3  1.87363540e-6  2.70372034e+2  2.70217250e+2
  5.56049138e-4  1.88841228e+3  2.04295752e-6  2.70123420e+2  2.69968693e+2
  5.80667537e-4  1.80799449e+3  2.22756909e-6  2.69853067e+2  2.69698398e+2
  6.06375885e-4  1.73098625e+3  2.42884899e-6  2.69559066e+2  2.69404536e+2
  6.33222439e-4  1.65724303e+3  2.64830025e-6  2.69239664e+2  2.69085139e+2
  6.61257591e-4  1.58662639e+3  2.88756114e-6  2.68892534e+2  2.68738088e+2
  6.90533966e-4  1.51900378e+3  3.14841734e-6  2.68515469e+2  2.68361109e+2
  7.21106517e-4  1.45424829e+3  3.43281512e-6  2.68106028e+2  2.67951762e+2
  7.53032630e-4  1.39223834e+3  3.74287578e-6  2.67661592e+2  2.67507434e+2
  7.86372232e-4  1.33285755e+3  4.08091133e-6  2.67179381e+2  2.67025328e+2
  8.21187906e-4  1.27599445e+3  4.44944153e-6  2.66656395e+2  2.66502464e+2
  8.57545000e-4  1.22154232e+3  4.85121251e-6  2.66089461e+2  2.65935661e+2
  8.95511761e-4  1.16939893e+3  5.28921707e-6  2.65475203e+2  2.65321545e+2
  9.35159454e-4  1.11946642e+3  5.76671667e-6  2.64810035e+2  2.64656532e+2
  9.76562500e-4  1.07165105e+3  6.28726548e-6  2.64090165e+2  2.63936836e+2
  1.01979862e-3  1.02586308e+3  6.85473656e-6  2.63311606e+2  2.63158463e+2
  1.06494896e-3  9.82016554e+2  7.47335026e-6  2.62470164e+2  2.62317215e+2
  1.11209828e-3  9.40029171e+2  8.14770529e-6  2.61561492e+2  2.61408696e+2
  1.16133507e-3  8.99822118e+2  8.88281241e-6  2.60580914e+2  2.60428317e+2
  1.21275177e-3  8.61319924e+2  9.68413116e-6  2.59523654e+2  2.59371315e+2
  1.26644488e-3  8.24450319e+2  1.05576098e-5  2.58384755e+2  2.58232764e+2
  1.32251518e-3  7.89144095e+2  1.15097290e-5  2.57159251e+2  2.57007598e+2
  1.38106793e-3  7.55334979e+2  1.25475489e-5  2.55841987e+2  2.55690642e+2
  1.44221303e-3  7.22959511e+2  1.36787606e-5  2.54427634e+2  2.54276641e+2
  1.50606526e-3  6.91956918e+2  1.49117425e-5  2.52910928e+2  2.52760303e+2
  1.57274446e-3  6.62269007e+2  1.62556210e-5  2.51286568e+2  2.51136344e+2
  1.64237581e-3  6.33840052e+2  1.77203370e-5  2.49549336e+2  2.49399543e+2
  1.71509000e-3  6.06616688e+2  1.93167178e-5  2.47694135e+2  2.47544803e+2
  1.79102352e-3  5.80547817e+2  2.10565554e-5  2.45716048e+2  2.45567216e+2
  1.87031891e-3  5.55584504e+2  2.29526922e-5  2.43610434e+2  2.43462138e+2
  1.95312500e-3  5.31679891e+2  2.50191136e-5  2.41372992e+2  2.41225272e+2
  2.03959723e-3  5.08789107e+2  2.72710483e-5  2.38999853e+2  2.38852746e+2
  2.12989792e-3  4.86869185e+2  2.97250786e-5  2.36487655e+2  2.36341207e+2
  2.22419655e-3  4.65878978e+2  3.23992585e-5  2.33833648e+2  2.33687906e+2
  2.32267015e-3  4.45779087e+2  3.53132442e-5  2.31035778e+2  2.30890789e+2
  2.42550354e-3  4.26531782e+2  3.84884335e-5  2.28092760e+2  2.27948580e+2
  2.53288976e-3  4.08100933e+2  4.19481191e-5  2.25004195e+2  2.24860867e+2
  2.64503037e-3  3.90451945e+2  4.57176543e-5  2.21770588e+2  2.21628169e+2
  2.76213586e-3  3.73551687e+2  4.98246327e-5  2.18393493e+2  2.18252003e+2
  2.88442607e-3  3.57368437e+2  5.42990840e-5  2.14875363e+2  2.14734929e+2
  3.01213052e-3  3.41871816e+2  5.91736857e-5  2.11219944e+2  2.11080582e+2
  3.14548893e-3  3.27032735e+2  6.44839937e-5  2.07431906e+2  2.07293690e+2
  3.28475162e-3  3.12823338e+2  7.02686917e-5  2.03517086e+2  2.03380065e+2
  3.43018000e-3  2.99216954e+2  7.65698620e-5  1.99482332e+2  1.99346575e+2
  3.58204704e-3  2.86188040e+2  8.34332797e-5  1.95335534e+2  1.95201103e+2
  3.74063782e-3  2.73712139e+2  9.09087309e-5  1.91085508e+2  1.90952470e+2
  3.90625000e-3  2.61765830e+2  9.90503575e-5  1.86741935e+2  1.86610355e+2
  4.07919446e-3  2.50326689e+2  1.07917032e-4  1.82315260e+2  1.82185182e+2
  4.25979583e-3  2.39373241e+2  1.17572762e-4  1.77816510e+2  1.77688006e+2
  4.44839310e-3  2.28884924e+2  1.28087130e-4  1.73257242e+2  1.73130379e+2
  4.64534029e-3  2.18842049e+2  1.39535767e-4  1.68649393e+2  1.68524206e+2
  4.85100708e-3  2.09225761e+2  1.52000867e-4  1.64005035e+2  1.63881608e+2
  5.06577951e-3  2.00018008e+2  1.65571745e-4  1.59336384e+2  1.59214773e+2
  5.29006073e-3  1.91201503e+2  1.80345437e-4  1.54655574e+2  1.54535817e+2
  5.52427173e-3  1.82759694e+2  1.96427349e-4  1.49974481e+2  1.49856650e+2
  5.76885213e-3  1.74676731e+2  2.13931965e-4  1.45304696e+2  1.45188852e+2
  6.02426104e-3  1.66937439e+2  2.32983599e-4  1.40657366e+2  1.40543561e+2
  6.29097786e-3  1.59527287e+2  2.53717222e-4  1.36043138e+2  1.35931379e+2
  6.56950324e-3  1.52432360e+2  2.76279341e-4  1.31471942e+2  1.31362287e+2
  6.86036000e-3  1.45639337e+2  3.00828957e-4  1.26953096e+2  1.26845582e+2
  7.16409409e-3  1.39135460e+2  3.27538596e-4  1.22495161e+2  1.22389828e+2
  7.48127563e-3  1.32908517e+2  3.56595413e-4  1.18105962e+2  1.18002820e+2
  7.81250000e-3  1.26946813e+2  3.88202392e-4  1.13792445e+2  1.13691567e+2
  8.15838893e-3  1.21239150e+2  4.22579629e-4  1.09560910e+2  1.09462287e+2
  8.51959166e-3  1.15774808e+2  4.59965719e-4  1.05416757e+2  1.05320413e+2
  8.89678621e-3  1.10543522e+2  5.00619243e-4  1.01364667e+2  1.01270610e+2
  9.29068059e-3  1.05535465e+2  5.44820366e-4  9.74085482e+1  9.73168015e+1
  9.70201416e-3  1.00741226e+2  5.92872556e-4  9.35516303e+1  9.34622043e+1
  1.01315590e-2  9.61517971e+1  6.45104428e-4  8.97964606e+1  8.97093647e+1
  1.05801215e-2  9.17585526e+1  7.01871717e-4  8.61449733e+1  8.60602028e+1
  1.10485435e-2  8.75532346e+1  7.63559398e-4  8.25985012e+1  8.25160580e+1
  1.15377043e-2  8.35279369e+1  8.30583952e-4  7.91578563e+1  7.90777359e+1
  1.20485221e-2  7.96750905e+1  9.03395790e-4  7.58233610e+1  7.57455562e+1
  1.25819557e-2  7.59874486e+1  9.82481845e-4  7.25949023e+1  7.25193997e+1
  1.31390065e-2  7.24580737e+1  1.06836834e-3  6.94719653e+1  6.93987545e+1
  1.37207200e-2  6.90803238e+1  1.16162374e-3  6.64536963e+1  6.63827605e+1
  1.43281882e-2  6.58478406e+1  1.26286188e-3  6.35389045e+1  6.34702517e+1
  1.49625513e-2  6.27545366e+1  1.37274536e-3  6.07262356e+1  6.06597964e+1
  1.56250000e-2  5.97945844e+1  1.49198903e-3  5.80139664e+1  5.79497343e+1
  1.63167779e-2  5.69624048e+1  1.62136385e-3  5.54002569e+1  5.53382111e+1
  1.70391833e-2  5.42526573e+1  1.76170083e-3  5.28830994e+1  5.28232104e+1
  1.77935724e-2  5.16602287e+1  1.91389530e-3  5.04603441e+1  5.04025827e+1
  1.85813612e-2  4.91802244e+1  2.07891143e-3  4.81297382e+1  4.80740721e+1
  1.94040283e-2  4.68079587e+1  2.25778692e-3  4.58889439e+1  4.58353392e+1
  2.02631180e-2  4.45389456e+1  2.45163802e-3  4.37355604e+1  4.36839832e+1
  2.11602429e-2  4.23688908e+1  2.66166481e-3  4.16671459e+1  4.16175604e+1
  2.20970869e-2  4.02936829e+1  2.88915669e-3  3.96812345e+1  3.96336006e+1
  2.30754085e-2  3.83093858e+1  3.13549822e-3  3.77753422e+1  3.77296224e+1
  2.40970441e-2  3.64122314e+1  3.40217517e-3  3.59469901e+1  3.59031452e+1
  2.51639114e-2  3.45986119e+1  3.69078084e-3  3.41937133e+1  3.41517011e+1
  2.62780130e-2  3.28650730e+1  4.00302273e-3  3.25130754e+1  3.24728435e+1
  2.74414400e-2  3.12083074e+1  4.34072932e-3  3.09026068e+1  3.08641558e+1
  2.86563764e-2  2.96251481e+1  4.70585729e-3  2.93600238e+1  2.93232578e+1
  2.99251025e-2  2.81125625e+1  5.10049883e-3  2.78829147e+1  2.78478116e+1
  3.12500000e-2  2.66676464e+1  5.52688925e-3  2.64690109e+1  2.64355260e+1
  3.26335557e-2  2.52876185e+1  5.98741480e-3  2.51160714e+1  2.50841603e+1
  3.40783666e-2  2.39698147e+1  6.48462067e-3  2.38219094e+1  2.37915273e+1
  3.55871448e-2  2.27116830e+1  7.02121916e-3  2.25843912e+1  2.25554953e+1
  3.71627223e-2  2.15107785e+1  7.60009797e-3  2.14014489e+1  2.13739897e+1
  3.88080566e-2  2.03647587e+1  8.22432862e-3  2.02710592e+1  2.02449942e+1
  4.05262361e-2  1.92713787e+1  8.89717490e-3  1.91912680e+1  1.91665512e+1
  4.23204858e-2  1.82284870e+1  9.62210136e-3  1.81601745e+1  1.81367619e+1
  4.41941738e-2  1.72340210e+1  1.04027817e-2  1.71759398e+1  1.71537864e+1
  4.61508171e-2  1.62860029e+1  1.12431073e-2  1.62367821e+1  1.62158429e+1
  4.81940883e-2  1.53825362e+1  1.21471951e-2  1.53409745e+1  1.53212070e+1
  5.03278229e-2  1.45218014e+1  1.31193957e-2  1.44868541e+1  1.44682109e+1
  5.25560260e-2  1.37020529e+1  1.41643014e-2  1.36728026e+1  1.36552422e+1
  5.48828800e-2  1.29216152e+1  1.52867526e-2  1.28972622e+1  1.28807425e+1
  5.73127527e-2  1.21788796e+1  1.64918457e-2  1.21587304e+1  1.21432063e+1
  5.98502050e-2  1.14723015e+1  1.77849386e-2  1.14557486e+1  1.14411794e+1
  6.25000000e-2  1.08003968e+1  1.91716564e-2  1.07869125e+1  1.07732572e+1
  6.52671114e-2  1.01617392e+1  2.06578967e-2  1.01508663e+1  1.01380835e+1
  6.81567333e-2  9.55495768e+0  2.22498331e-2  9.54629799e+0  9.53434853e+0
  7.11742897e-2  8.97873360e+0  2.39539186e-2  8.97194334e+0  8.96078762e+0
  7.43254447e-2  8.43179835e+0  2.57768872e-2  8.42657991e+0  8.41617953e+0
  7.76161133e-2  7.91293091e+0  2.77257553e-2  7.90902575e+0  7.89934483e+0
  8.10524722e-2  7.42095564e+0  2.98078204e-2  7.41814587e+0  7.40914439e+0
  8.46409717e-2  6.95474012e+0  3.20306599e-2  6.95283386e+0  6.94447784e+0
  8.83883476e-2  6.51319315e+0  3.44021274e-2  6.51202762e+0  6.50428210e+0
  9.23016341e-2  6.09526283e+0  3.69303478e-2  6.09470619e+0  6.08752995e+0
  9.63881766e-2  5.69993480e+0  3.96237106e-2  5.69985298e+0  5.69322868e+0
  1.00655646e-1  5.32623055e+0  4.24908617e-2  5.32653084e+0  5.32041877e+0
  1.05112052e-1  4.97320584e+0  4.55406926e-2  4.97380299e+0  4.96817262e+0
  1.09765760e-1  4.63994922e+0  4.87823289e-2  4.64077156e+0  4.63559340e+0
