# listGammaModel[1, 0.02, 4., 0.03125, 0.00375, "bulge_g1_a02_b4_e00375.txt", {2, -18, 6, 1/16}]
#             r         rho(r)        mass(r)     rho_eps(r)     rho(r_eps)
  6.95061423e-5  1.77921140e+5  3.76689632e-7  2.15399700e+3  1.98943047e+3
  7.25834421e-5  1.70299519e+5  4.10657013e-7  2.15394890e+3  1.98938491e+3
  7.57969856e-5  1.63001078e+5  4.47681292e-7  2.15389645e+3  1.98933522e+3
  7.91528048e-5  1.56012118e+5  4.88036739e-7  2.15383925e+3  1.98928104e+3
  8.26571989e-5  1.49319520e+5  5.32022115e-7  2.15377688e+3  1.98922196e+3
  8.63167458e-5  1.42910723e+5  5.79962845e-7  2.15370887e+3  1.98915754e+3
  9.01383146e-5  1.36773696e+5  6.32213378e-7  2.15363471e+3  1.98908729e+3
  9.41290787e-5  1.30896919e+5  6.89159756e-7  2.15355384e+3  1.98901068e+3
  9.82965290e-5  1.25269362e+5  7.51222409e-7  2.15346566e+3  1.98892716e+3
  1.02648488e-4  1.19880460e+5  8.18859187e-7  2.15336951e+3  1.98883608e+3
  1.07193125e-4  1.14720100e+5  8.92568661e-7  2.15326467e+3  1.98873677e+3
  1.11938970e-4  1.09778593e+5  9.72893713e-7  2.15315035e+3  1.98862848e+3
  1.16894932e-4  1.05046665e+5  1.06042544e-6  2.15302565e+3  1.98851041e+3
  1.22070313e-4  1.00515434e+5  1.15580736e-6  2.15287588e+3  1.98838167e+3
  1.27474827e-4  9.61763936e+4  1.25974008e-6  2.15272765e+3  1.98824129e+3
  1.33118620e-4  9.20213993e+4  1.37298621e-6  2.15258002e+3  1.98808824e+3
  1.39012285e-4  8.80426517e+4  1.49637587e-6  2.15240385e+3  1.98792136e+3
  1.45166884e-4  8.42326826e+4  1.63081253e-6  2.15221177e+3  1.98773941e+3
  1.51593971e-4  8.05843400e+4  1.77727945e-6  2.15200234e+3  1.98754104e+3
  1.58305610e-4  7.70907757e+4  1.93684661e-6  2.15177393e+3  1.98732476e+3
  1.65314398e-4  7.37454319e+4  2.11067824e-6  2.15152359e+3  1.98708897e+3
  1.72633492e-4  7.05420290e+4  2.30004101e-6  2.15125361e+3  1.98683190e+3
  1.80276629e-4  6.74745538e+4  2.50631294e-6  2.15095774e+3  1.98655165e+3
  1.88258157e-4  6.45372481e+4  2.73099293e-6  2.15063528e+3  1.98624613e+3
  1.96593058e-4  6.17245983e+4  2.97571131e-6  2.15028367e+3  1.98591308e+3
  2.05296976e-4  5.90313246e+4  3.24224104e-6  2.14990035e+3  1.98555002e+3
  2.14386250e-4  5.64523712e+4  3.53251004e-6  2.14948254e+3  1.98515426e+3
  2.23877940e-4  5.39828969e+4  3.84861442e-6  2.14902711e+3  1.98472289e+3
  2.33789863e-4  5.16182661e+4  4.19283288e-6  2.14853070e+3  1.98425270e+3
  2.44140625e-4  4.93540398e+4  4.56764225e-6  2.14798965e+3  1.98374023e+3
  2.54949654e-4  4.71859676e+4  4.97573435e-6  2.14740000e+3  1.98318171e+3
  2.66237239e-4  4.51099792e+4  5.42003420e-6  2.14675732e+3  1.98257302e+3
  2.78024569e-4  4.31221777e+4  5.90371972e-6  2.14605699e+3  1.98190971e+3
  2.90333768e-4  4.12188311e+4  6.43024304e-6  2.14529384e+3  1.98118691e+3
  3.03187942e-4  3.93963662e+4  7.00335353e-6  2.14446231e+3  1.98039934e+3
  3.16611219e-4  3.76513615e+4  7.62712263e-6  2.14355631e+3  1.97954127e+3
  3.30628796e-4  3.59805409e+4  8.30597074e-6  2.14256928e+3  1.97860646e+3
  3.45266983e-4  3.43807674e+4  9.04469614e-6  2.14149404e+3  1.97758813e+3
  3.60553258e-4  3.28490373e+4  9.84850631e-6  2.14032283e+3  1.97647893e+3
  3.76516315e-4  3.13824746e+4  1.07230515e-5  2.13904722e+3  1.97527088e+3
  3.93186116e-4  2.99783257e+4  1.16744613e-5  2.13765805e+3  1.97395532e+3
  4.10593953e-4  2.86339537e+4  1.27093834e-5  2.13614541e+3  1.97252285e+3
  4.28772500e-4  2.73468341e+4  1.38350257e-5  2.13449852e+3  1.97096331e+3
  4.47755880e-4  2.61145498e+4  1.50592021e-5  2.13270575e+3  1.96926566e+3
  4.67579727e-4  2.49347863e+4  1.63903804e-5  2.13075447e+3  1.96741798e+3
  4.88281250e-4  2.38053278e+4  1.78377351e-5  2.12863104e+3  1.96540735e+3
  5.09899308e-4  2.27240527e+4  1.94112032e-5  2.12632069e+3  1.96321982e+3
  5.32474479e-4  2.16889298e+4  2.11215448e-5  2.12380749e+3  1.96084032e+3
  5.56049138e-4  2.06980143e+4  2.29804071e-5  2.12107424e+3  1.95825257e+3
  5.80667537e-4  1.97494442e+4  2.50003937e-5  2.11810235e+3  1.95543904e+3
  6.06375885e-4  1.88414370e+4  2.71951385e-5  2.11487185e+3  1.95238084e+3
  6.33222439e-4  1.79722859e+4  2.95793850e-5  2.11136122e+3  1.94905765e+3
  6.61257591e-4  1.71403572e+4  3.21690700e-5  2.10754734e+3  1.94544763e+3
  6.90533966e-4  1.63440866e+4  3.49814141e-5  2.10340542e+3  1.94152736e+3
  7.21106517e-4  1.55819765e+4  3.80350177e-5  2.09890886e+3  1.93727173e+3
  7.53032630e-4  1.48525935e+4  4.13499625e-5  2.09402919e+3  1.93265391e+3
  7.86372232e-4  1.41545649e+4  4.49479208e-5  2.08873604e+3  1.92764523e+3
  8.21187906e-4  1.34865771e+4  4.88522701e-5  2.08299702e+3  1.92221515e+3
  8.57545000e-4  1.28473723e+4  5.30882156e-5  2.07677766e+3  1.91633121e+3
  8.95511761e-4  1.22357463e+4  5.76829193e-5  2.07004142e+3  1.90995897e+3
  9.35159454e-4  1.16505468e+4  6.26656371e-5  2.06274959e+3  1.90306201e+3
  9.76562500e-4  1.10906702e+4  6.80678627e-5  2.05486123e+3  1.89560190e+3
  1.01979862e-3  1.05550604e+4  7.39234799e-5  2.04633366e+3  1.88753827e+3
  1.06494896e-3  1.00427065e+4  8.02689222e-5  2.03712155e+3  1.87882879e+3
  1.11209828e-3  9.55264044e+3  8.71433409e-5  2.02717796e+3  1.86942933e+3
  1.16133507e-3  9.08393591e+3  9.45887802e-5  2.01645397e+3  1.85929403e+3
  1.21275177e-3  8.63570601e+3  1.02650361e-4  2.00489895e+3  1.84837550e+3
  1.26644488e-3  8.20710179e+3  1.11376473e-4  1.99246082e+3  1.83662503e+3
  1.32251518e-3  7.79731056e+3  1.20818972e-4  1.97908625e+3  1.82399286e+3
  1.38106793e-3  7.40555436e+3  1.31033386e-4  1.96472111e+3  1.81042853e+3
  1.44221303e-3  7.03108843e+3  1.42079129e-4  1.94931702e+3  1.79588129e+3
  1.50606526e-3  6.67319978e+3  1.54019720e-4  1.93280092e+3  1.78030055e+3
  1.57274446e-3  6.33120583e+3  1.66923007e-4  1.91513743e+3  1.76363647e+3
  1.64237581e-3  6.00445305e+3  1.80861397e-4  1.89626776e+3  1.74584057e+3
  1.71509000e-3  5.69231572e+3  1.95912087e-4  1.87614131e+3  1.72686642e+3
  1.79102352e-3  5.39419469e+3  2.12157304e-4  1.85471032e+3  1.70667044e+3
  1.87031891e-3  5.10951624e+3  2.29684541e-4  1.83193069e+3  1.68521272e+3
  1.95312500e-3  4.83773089e+3  2.48586790e-4  1.80776300e+3  1.66245795e+3
  2.03959723e-3  4.57831238e+3  2.68962782e-4  1.78217345e+3  1.63837630e+3
  2.12989792e-3  4.33075660e+3  2.90917217e-4  1.75513490e+3  1.61294448e+3
  2.22419655e-3  4.09458060e+3  3.14560985e-4  1.72662792e+3  1.58614661e+3
  2.32267015e-3  3.86932164e+3  3.40011386e-4  1.69664179e+3  1.55797528e+3
  2.42550354e-3  3.65453624e+3  3.67392331e-4  1.66517550e+3  1.52843238e+3
  2.53288976e-3  3.44979932e+3  3.96834534e-4  1.63223865e+3  1.49753001e+3
  2.64503037e-3  3.25470335e+3  4.28475681e-4  1.59785180e+3  1.46529114e+3
  2.76213586e-3  3.06885752e+3  4.62460580e-4  1.56204943e+3  1.43175024e+3
  2.88442607e-3  2.89188693e+3  4.98941285e-4  1.52487584e+3  1.39695369e+3
  3.01213052e-3  2.72343192e+3  5.38077192e-4  1.48639000e+3  1.36096002e+3
  3.14548893e-3  2.56314725e+3  5.80035095e-4  1.44666349e+3  1.32383988e+3
