# listGammaModel[1, 0.00816, 1.64, 0.00521, 0.0104167, "bulge_g1_a00816_b164_e00375.txt", {2, -18, 6, 1/16}]
#             r         rho(r)        mass(r)     rho_eps(r)     rho(r_eps)
  6.95061423e-5  1.75530935e+5  3.73496645e-7  2.16040472e+2  1.01820771e+2
  7.25834421e-5  1.67900577e+5  4.06996542e-7  2.16039348e+2  1.01820221e+2
  7.57969856e-5  1.60594009e+5  4.43486584e-7  2.16038094e+2  1.01819621e+2
  7.91528048e-5  1.53597516e+5  4.83231666e-7  2.16036757e+2  1.01818967e+2
  8.26571989e-5  1.46897963e+5  5.26519879e-7  2.16035299e+2  1.01818253e+2
  8.63167458e-5  1.40482775e+5  5.73664500e-7  2.16033708e+2  1.01817475e+2
  9.01383146e-5  1.34339909e+5  6.25006149e-7  2.16031974e+2  1.01816626e+2
  9.41290787e-5  1.28457835e+5  6.80915133e-7  2.16030083e+2  1.01815701e+2
  9.82965290e-5  1.22825509e+5  7.41793976e-7  2.16028021e+2  1.01814692e+2
  1.02648488e-4  1.17432359e+5  8.08080158e-7  2.16025772e+2  1.01813592e+2
  1.07193125e-4  1.12268260e+5  8.80249082e-7  2.16023319e+2  1.01812392e+2
  1.11938970e-4  1.07323518e+5  9.58817282e-7  2.16020645e+2  1.01811083e+2
  1.16894932e-4  1.02588851e+5  1.04434589e-6  2.16017728e+2  1.01809656e+2
  1.22070313e-4  9.80553687e+4  1.13744438e-6  2.16014548e+2  1.01808100e+2
  1.27474827e-4  9.37145610e+4  1.23877462e-6  2.16011080e+2  1.01806403e+2
  1.33118620e-4  8.95582781e+4  1.34905526e-6  2.16007298e+2  1.01804553e+2
  1.39012285e-4  8.55787168e+4  1.46906641e-6  2.16003174e+2  1.01802535e+2
  1.45166884e-4  8.17684051e+4  1.59965477e-6  2.15998676e+2  1.01800335e+2
  1.51593971e-4  7.81201889e+4  1.74173911e-6  2.15993772e+2  1.01797936e+2
  1.58305610e-4  7.46272180e+4  1.89631617e-6  2.15988425e+2  1.01795319e+2
  1.65314398e-4  7.12829335e+4  2.06446705e-6  2.15982593e+2  1.01792466e+2
  1.72633492e-4  6.80810553e+4  2.24736406e-6  2.15976234e+2  1.01789355e+2
  1.80276629e-4  6.50155705e+4  2.44627811e-6  2.15969300e+2  1.01785962e+2
  1.88258157e-4  6.20807218e+4  2.66258664e-6  2.15961739e+2  1.01782263e+2
  1.96593058e-4  5.92709971e+4  2.89778214e-6  2.15953493e+2  1.01778229e+2
  2.05296976e-4  5.65811186e+4  3.15348131e-6  2.15944503e+2  1.01773830e+2
  2.14386250e-4  5.40060335e+4  3.43143489e-6  2.15934698e+2  1.01769034e+2
  2.23877940e-4  5.15409038e+4  3.73353816e-6  2.15924008e+2  1.01763803e+2
  2.33789863e-4  4.91810977e+4  4.06184224e-6  2.15912351e+2  1.01758100e+2
  2.44140625e-4  4.69221808e+4  4.41856619e-6  2.15899640e+2  1.01751882e+2
  2.54949654e-4  4.47599075e+4  4.80610984e-6  2.15885780e+2  1.01745101e+2
