# listNFWModel[0.125, 0.4875, 1/(2*Pi), 0.00375, "halo_c039_a125_e00375.txt", {2, -16, 6, 1/16}, 12]
#             r         rho(r)        mass(r)     rho_eps(r)     rho(r_eps)
  1.52587891e-5  1.30347904e+3  2.90990942e-11  5.01080982e+0  5.00058280e+0
  1.59343534e-5  1.24820232e+3  3.17325583e-11  5.01080585e+0  5.00057884e+0
  1.66398275e-5  1.19526914e+3  3.46043405e-11  5.01080153e+0  5.00057451e+0
  1.73765356e-5  1.14458016e+3  3.77360039e-11  5.01079681e+0  5.00056980e+0
  1.81458605e-5  1.09604023e+3  4.11510667e-11  5.01079166e+0  5.00056466e+0
  1.89492464e-5  1.04955823e+3  4.48751720e-11  5.01078605e+0  5.00055905e+0
  1.97882012e-5  1.00504692e+3  4.89362836e-11  5.01077989e+0  5.00055293e+0
  2.06642997e-5  9.62422735e+2  5.33648977e-11  5.01077319e+0  5.00054627e+0
  2.15791864e-5  9.21605680e+2  5.81942655e-11  5.01076592e+0  5.00053899e+0
  2.25345786e-5  8.82519135e+2  6.34606497e-11  5.01075798e+0  5.00053106e+0
  2.35322697e-5  8.45089731e+2  6.92035929e-11  5.01074932e+0  5.00052242e+0
  2.45741323e-5  8.09247211e+2  7.54662152e-11  5.01073989e+0  5.00051299e+0
  2.56621220e-5  7.74924297e+2  8.22955362e-11  5.01072959e+0  5.00050270e+0
  2.67982813e-5  7.42056563e+2  8.97428312e-11  5.01071837e+0  5.00049149e+0
  2.79847425e-5  7.10582312e+2  9.78640125e-11  5.01070613e+0  5.00047926e+0
  2.92237329e-5  6.80442467e+2  1.06720053e-10  5.01069278e+0  5.00046593e+0
  3.05175781e-5  6.51580454e+2  1.16377437e-10  5.01067823e+0  5.00045138e+0
  3.18687067e-5  6.23942095e+2  1.26908666e-10  5.01066235e+0  5.00043552e+0
  3.32796549e-5  5.97475512e+2  1.38392799e-10  5.01064505e+0  5.00041823e+0
  3.47530711e-5  5.72131026e+2  1.50916046e-10  5.01062617e+0  5.00039937e+0
  3.62917210e-5  5.47861064e+2  1.64572415e-10  5.01060559e+0  5.00037881e+0
  3.78984928e-5  5.24620069e+2  1.79464416e-10  5.01058314e+0  5.00035638e+0
  3.95764024e-5  5.02364416e+2  1.95703832e-10  5.01055866e+0  5.00033192e+0
  4.13285995e-5  4.81052331e+2  2.13412554e-10  5.01053197e+0  5.00030526e+0
  4.31583729e-5  4.60643809e+2  2.32723501e-10  5.01050286e+0  5.00027617e+0
  4.50691573e-5  4.41100541e+2  2.53781606e-10  5.01047112e+0  5.00024446e+0
  4.70645393e-5  4.22385845e+2  2.76744915e-10  5.01043651e+0  5.00020988e+0
  4.91482645e-5  4.04464591e+2  3.01785765e-10  5.01039814e+0  5.00017216e+0
  5.13242441e-5  3.87303141e+2  3.29092074e-10  5.01035702e+0  5.00013104e+0
  5.35965625e-5  3.70869280e+2  3.58868757e-10  5.01031213e+0  5.00008619e+0
  5.59694851e-5  3.55132161e+2  3.91339253e-10  5.01026380e+0  5.00003729e+0
  5.84474659e-5  3.40062246e+2  4.26747206e-10  5.01021042e+0  4.99998396e+0
  6.10351563e-5  3.25631247e+2  4.65358289e-10  5.01015222e+0  4.99992581e+0
  6.37374135e-5  3.11812075e+2  5.07462192e-10  5.01008875e+0  4.99986239e+0
  6.65593099e-5  2.98578792e+2  5.53374795e-10  5.00980169e+0  4.99979324e+0
  6.95061423e-5  2.85906557e+2  6.03440534e-10  5.00994406e+0  4.99971784e+0
  7.25834421e-5  2.73771585e+2  6.58034980e-10  5.00986176e+0  4.99963561e+0
  7.57969856e-5  2.62151096e+2  7.17567651e-10  5.00977201e+0  4.99954594e+0
  7.91528048e-5  2.51023280e+2  7.82485078e-10  5.00967415e+0  4.99944817e+0
  8.26571989e-5  2.40367247e+2  8.53274151e-10  5.00956744e+0  4.99934155e+0
  8.63167458e-5  2.30162996e+2  9.30465760e-10  5.00945107e+0  4.99922529e+0
  9.01383146e-5  2.20391374e+2  1.01463877e-9  5.00932419e+0  4.99909851e+0
  9.41290787e-5  2.11034037e+2  1.10642436e-9  5.00918582e+0  4.99896027e+0
  9.82965290e-5  2.02073422e+2  1.20651072e-9  5.00903551e+0  4.99880953e+0
  1.02648488e-4  1.93492709e+2  1.31564824e-9  5.00887099e+0  4.99864516e+0
  1.07193125e-4  1.85275792e+2  1.43465509e-9  5.00869161e+0  4.99846594e+0
  1.11938970e-4  1.77407246e+2  1.56442333e-9  5.00849600e+0  4.99827051e+0
  1.16894932e-4  1.69872303e+2  1.70592564e-9  5.00828217e+0  4.99805742e+0
  1.22070313e-4  1.62656818e+2  1.86022249e-9  5.00804962e+0  4.99782508e+0
  1.27474827e-4  1.55747247e+2  2.02847018e-9  5.00779605e+0  4.99757174e+0
  1.33118620e-4  1.49130622e+2  2.21192938e-9  5.00751955e+0  4.99729551e+0
  1.39012285e-4  1.42794521e+2  2.41197461e-9  5.00721810e+0  4.99699433e+0
  1.45166884e-4  1.36727053e+2  2.63010447e-9  5.00688946e+0  4.99666595e+0
  1.51593971e-4  1.30916827e+2  2.86795285e-9  5.00653111e+0  4.99630792e+0
  1.58305610e-4  1.25352938e+2  3.12730113e-9  5.00614041e+0  4.99591756e+0
  1.65314398e-4  1.20024941e+2  3.41009141e-9  5.00571447e+0  4.99549198e+0
  1.72633492e-4  1.14922837e+2  3.71844110e-9  5.00524986e+0  4.99502799e+0
  1.80276629e-4  1.10037047e+2  4.05465863e-9  5.00474378e+0  4.99452215e+0
  1.88258157e-4  1.05358402e+2  4.42126067e-9  5.00419184e+0  4.99397070e+0
  1.96593058e-4  1.00878118e+2  4.82099092e-9  5.00359013e+0  4.99336953e+0
  2.05296976e-4  9.65877862e+1  5.25684052e-9  5.00293419e+0  4.99271418e+0
  2.14386250e-4  9.24793534e+1  5.73207032e-9  5.00221917e+0  4.99199980e+0
  2.23877940e-4  8.85451076e+1  6.25023519e-9  5.00143963e+0  4.99122109e+0
  2.33789863e-4  8.47776641e+1  6.81521042e-9  5.00059005e+0  4.99037229e+0
  2.44140625e-4  8.11699511e+1  7.43122059e-9  4.99966408e+0  4.98944714e+0
  2.54949654e-4  7.77151967e+1  8.10287094e-9  4.99865485e+0  4.98843881e+0
  2.66237239e-4  7.44069161e+1  8.83518161e-9  4.99755508e+0  4.98733988e+0
  2.78024569e-4  7.12388994e+1  9.63362495e-9  4.99635642e+0  4.98614227e+0
  2.90333768e-4  6.82052001e+1  1.05041661e-8  4.99505018e+0  4.98483719e+0
  3.03187942e-4  6.53001237e+1  1.14533073e-8  4.99362682e+0  4.98341511e+0
  3.16611219e-4  6.25182173e+1  1.24881360e-8  4.99207600e+0  4.98186562e+0
  3.30628796e-4  5.98542590e+1  1.36163776e-8  4.99038632e+0  4.98017745e+0
  3.45266983e-4  5.73032483e+1  1.48464525e-8  4.98854562e+0  4.97833834e+0
  3.60553258e-4  5.48603970e+1  1.61875384e-8  4.98654043e+0  4.97633497e+0
  3.76516315e-4  5.25211195e+1  1.76496384e-8  4.98438046e+0  4.97415289e+0
  3.93186116e-4  5.02810249e+1  1.92436548e-8  4.98197770e+0  4.97177640e+0
  4.10593953e-4  4.81359084e+1  2.09814695e-8  4.97938748e+0  4.96918850e+0
  4.28772500e-4  4.60817436e+1  2.28760322e-8  4.97656771e+0  4.96637072e+0
  4.47755880e-4  4.41146745e+1  2.49414552e-8  4.97349677e+0  4.96330308e+0
  4.67579727e-4  4.22310089e+1  2.71931183e-8  4.97015461e+0  4.95996391e+0
  4.88281250e-4  4.04272110e+1  2.96477812e-8  4.96651722e+0  4.95632979e+0
  5.09899308e-4  3.86998949e+1  3.23237074e-8  4.96255921e+0  4.95237535e+0
  5.32474479e-4  3.70458185e+1  3.52407981e-8  4.95825318e+0  4.94807319e+0
  5.56049138e-4  3.54618768e+1  3.84207387e-8  4.95356950e+0  4.94339372e+0
  5.80667537e-4  3.39450966e+1  4.18871574e-8  4.94847624e+0  4.93830501e+0
