# listGammaModel[1, 0.01, 4., 0.015625, 0.00375, "bulge_g1_a01_b4_e00375.txt", {2, -18, 6, 1/16}]
#             r         rho(r)        mass(r)     rho_eps(r)     rho(r_eps)
  3.81469727e-6  6.52779022e+6  2.27767592e-9  3.13429119e+3  2.55731021e+3
  3.98358834e-6  6.25071674e+6  2.48373934e-9  3.13429094e+3  2.55730999e+3
  4.15995687e-6  5.98539029e+6  2.70844146e-9  3.13429066e+3  2.55730976e+3
  4.34413389e-6  5.73131283e+6  2.95346760e-9  3.13429036e+3  2.55730950e+3
  4.53646513e-6  5.48800745e+6  3.22065543e-9  3.13429002e+3  2.55730921e+3
  4.73731160e-6  5.25501744e+6  3.51200863e-9  3.13428966e+3  2.55730891e+3
  4.94705030e-6  5.03190547e+6  3.82971200e-9  3.13428927e+3  2.55730857e+3
  5.16607493e-6  4.81825274e+6  4.17614770e-9  3.13428884e+3  2.55730820e+3
  5.39479661e-6  4.61365821e+6  4.55391315e-9  3.13428837e+3  2.55730781e+3
  5.63364466e-6  4.41773785e+6  4.96584041e-9  3.13428785e+3  2.55730737e+3
  5.88306742e-6  4.23012390e+6  5.41501739e-9  3.13428730e+3  2.55730689e+3
  6.14353307e-6  4.05046420e+6  5.90481092e-9  3.13428669e+3  2.55730638e+3
  6.41553051e-6  3.87842152e+6  6.43889190e-9  3.13428602e+3  2.55730581e+3
  6.69957031e-6  3.71367292e+6  7.02126280e-9  3.13428530e+3  2.55730520e+3
  6.99618563e-6  3.55590915e+6  7.65628748e-9  3.13428451e+3  2.55730452e+3
  7.30593323e-6  3.40483409e+6  8.34872385e-9  3.13428365e+3  2.55730379e+3
  7.62939453e-6  3.26016415e+6  9.10375939e-9  3.13428271e+3  2.55730299e+3
  7.96717668e-6  3.12162779e+6  9.92704988e-9  3.13428169e+3  2.55730212e+3
  8.31991373e-6  2.98896496e+6  1.08247616e-8  3.13428057e+3  2.55730117e+3
  8.68826778e-6  2.86192664e+6  1.18036173e-8  3.13427935e+3  2.55730014e+3
  9.07293026e-6  2.74027438e+6  1.28709466e-8  3.13427803e+3  2.55729901e+3
  9.47462320e-6  2.62377982e+6  1.40347403e-8  3.13427658e+3  2.55729778e+3
  9.89410061e-6  2.51222430e+6  1.53037101e-8  3.13427500e+3  2.55729643e+3
  1.03321499e-5  2.40539843e+6  1.66873536e-8  3.13427328e+3  2.55729497e+3
  1.07895932e-5  2.30310168e+6  1.81960251e-8  3.13427140e+3  2.55729337e+3
  1.12672893e-5  2.20514203e+6  1.98410125e-8  3.13426947e+3  2.55729163e+3
  1.17661348e-5  2.11133561e+6  2.16346215e-8  3.13426723e+3  2.55728973e+3
  1.22870661e-5  2.02150635e+6  2.35902671e-8  3.13426480e+3  2.55728766e+3
  1.28310610e-5  1.93548561e+6  2.57225734e-8  3.13426214e+3  2.55728540e+3
  1.33991406e-5  1.85311194e+6  2.80474826e-8  3.13425925e+3  2.55728294e+3
  1.39923713e-5  1.77423072e+6  3.05823729e-8  3.13425609e+3  2.55728025e+3
  1.46118665e-5  1.69869388e+6  3.33461882e-8  3.13425265e+3  2.55727732e+3
  1.52587891e-5  1.62635964e+6  3.63595784e-8  3.13427281e+3  2.55727413e+3
  1.59343534e-5  1.55709221e+6  3.96450529e-8  3.13424480e+3  2.55727064e+3
